label,text
INFJ的奇幻之旅小组,"所有在同一个城市的人，找个咖啡馆或者西餐厅之类的地方随意地聊聊天会不会也是个有趣的事情？不总是说INFJ人太少容易孤独吗？索性大家纠集在一起，试试INFJ和INFJ做朋友是什么样的感觉？
真如想象中一般，同类和同类交往比较容易么？

初步是想我们大家定一个日子，比如09年5月31日下午（那天是周日，同时是六一节的前一天，顺便一起庆祝六一）？所有不同城市的INFJ同时在自己的城市聚会，聚会结束后，大家再各自来这里发表感受及照片。
当然，费用是AA的。

如果有对这个活动感兴趣的，就在后面跟一贴，同时报出来你在哪个城市，及是否有兴趣作为本城市活动的组织者。

报名本城市活动组织者的同学须负以下责任：
1、你需要通过电话和豆油联系大家，同时想参加聚会的同学也将打电话与你联系，所以你的部分个人资料（尤其是联系方式）会公开。
2、你需要提前联系场地，定位，并将场地和包厢号（如果有的话）告诉其他参加的同学。
3、在活动进行中，作为组织者你需要作为主持人让大家互相自我介绍，并保证所有同学的参与度及人身安全。
4、作为活动组织者你需要在活动结束后，负责召集参加的同学AA制支付各自的饮食费用。
5、请一定详细阅读以上责任说明，谢谢。



PS：
1、如果各位有兴趣组织的同学，看到各自城市的参与者达到了你觉得合适的人数，就可以在这里报名说你愿意担任你们城市的活动组织者。
2、活动组织者一定是公开报名，并留下联系方式的。如果有未经讨论的“活动组织者”发秘密豆油给你，请不要轻易赴约，务必注意活动安全哦！"
INFJ的奇幻之旅小组,infj同城聚会其实就是大家一起不说话等着对方说吗
INFJ的奇幻之旅小组,你完美掌握了INFJ的精髓
INFJ的奇幻之旅小组,广州～～小郁闷一下
INFJ的奇幻之旅小组,"先顶一个。
我在北京。
呵呵。"
INFJ的奇幻之旅小组,"成都

挖个坑 如果18年内成都有五个人愿意聚 我们就搞一次"
INFJ的奇幻之旅小组,"先顶一个。
我在北京。
呵呵。"
INFJ的奇幻之旅小组,我在深圳。。
INFJ的奇幻之旅小组,长沙
INFJ的奇幻之旅小组,"很好的建议，不过没有豆油和我同城。祝大家聚会开心。
海口。"
INFJ的奇幻之旅小组,深圳的报道一个。
INFJ的奇幻之旅小组,武汉
INFJ的奇幻之旅小组,"南京 

天南海北的都有啊
还是觉得比较理想化
可行性不大
不过
还是很希望
南京的INFJ们豆油我一下
期待期待。。"
INFJ的奇幻之旅小组,"嘿嘿，本来就是理想化的一群人。
只是个想法，大家先踊跃登记吧。"
INFJ的奇幻之旅小组,"晕,我这肯定没有人和我聚会,我等待看大家聚会的好消息.北京还是很有希望的"
INFJ的奇幻之旅小组,成都
INFJ的奇幻之旅小组,温州或绍兴
INFJ的奇幻之旅小组,"2009-04-21 11:00:17 木禾女 (工作了。。。) 　　武汉

 我也在武汉 认识下吧 呵呵~~~　只不过曾经的我是infj了 现在变了。。。"
INFJ的奇幻之旅小组,在北京~不过人多就拘谨了呵呵。与人初次见面我都很木不自然。。
INFJ的奇幻之旅小组,广州～～小郁闷一下
INFJ的奇幻之旅小组,长春..貌似没有诶..
INFJ的奇幻之旅小组,武汉
INFJ的奇幻之旅小组,北京十月mbti聚会，来参加呀 http://www.douban.com/event/11121044/
INFJ的奇幻之旅小组,合肥……貌似木有人
INFJ的奇幻之旅小组,"半年了才这几个人？呵
某人在深圳，顶上！"
INFJ的奇幻之旅小组,武汉
INFJ的奇幻之旅小组,"还是很少人呐,是不是一想到要见陌生人就慌张啊~

交个同城真实的朋友,比交一百个豆友划得来呐.

至少可以先成为豆友嘛.没到那程度可以不见面的."
INFJ的奇幻之旅小组,没有
INFJ的奇幻之旅小组,我在深圳，有活动了叫我哈
INFJ的奇幻之旅小组,苏州，第一人哦
INFJ的奇幻之旅小组,上海的，有米？
INFJ的奇幻之旅小组,昆明，也是第一人么？好吧，云南。嘿嘿
INFJ的奇幻之旅小组,我怎么写那么长。。刚进组的时候激动了。。
INFJ的奇幻之旅小组,上海
INFJ的奇幻之旅小组,在上海
INFJ的奇幻之旅小组,"上海
不过我在想，一群内向的INFJ的人聚在一起的同城聚会，会不会有点闷呢"
INFJ的奇幻之旅小组,这个活动已经办过了吧，好像有几个人参加的，活动记录上是这么写的...
INFJ的奇幻之旅小组,"过了没关系，继续认识朋友嘛

武汉"
INFJ的奇幻之旅小组,"上海的

留名在此"
INFJ的奇幻之旅小组,"不是有一个吗，算让我找出来了。。。

为什么只有几个人报名啊？"
INFJ的奇幻之旅小组,上海
INFJ的奇幻之旅小组,上海留名
INFJ的奇幻之旅小组,啊、！！！！北京的飘过 期待聚会
INFJ的奇幻之旅小组,"羡慕

我总会想到在北京呢几天 和朋友舒服的聊到半夜2 3点
发现时间总是呢么快的过去
怎么抓紧时间都是徒劳

除了国内的酒吧可以抽烟外 我觉的其他的都很好
我喜欢坐在长满植物 靠窗 的大木椅上坐着
夜里时看看星空 傍晚时看看匆匆赶路的人"
INFJ的奇幻之旅小组,在北京
INFJ的奇幻之旅小组,顶一下 南京
INFJ的奇幻之旅小组,想法不错 成都的 顶下！
INFJ的奇幻之旅小组,在广州就不愁聚会的城市.哈哈.
INFJ的奇幻之旅小组,我来的太晚了~
INFJ的奇幻之旅小组,重庆
INFJ的奇幻之旅小组,上海在此留名
INFJ的奇幻之旅小组,哈尔滨
INFJ的奇幻之旅小组,成都
INFJ的奇幻之旅小组,厦门的亲们
INFJ的奇幻之旅小组,嘿，深圳
INFJ的奇幻之旅小组,西安有一个哦
INFJ的奇幻之旅小组,上海 INTP也想混进来……
INFJ的奇幻之旅小组,上海
INFJ的奇幻之旅小组,塞北-呼和浩特，同在的亲们请举爪！
INFJ的奇幻之旅小组,上海
INFJ的奇幻之旅小组,上海
INFJ的奇幻之旅小组,深圳人民发来贺电！
INFJ的奇幻之旅小组,"魔都很多啊 
南京的 可是不认识见面很尴尬的把"
INFJ的奇幻之旅小组,广州~
INFJ的奇幻之旅小组,"南京南京

南京南京南京"
INFJ的奇幻之旅小组,好像武汉还挺多啊
INFJ的奇幻之旅小组,广州的…
INFJ的奇幻之旅小组,广州这边
INFJ的奇幻之旅小组,上海
INFJ的奇幻之旅小组,济南
INFJ的奇幻之旅小组,呼唤露珠～我是北京的～不知道到目前为止成功过吗？要不要近期再组织组织？
INFJ的奇幻之旅小组,深圳 好開心啊深圳的好多
INFJ的奇幻之旅小组,成都，留个名
INFJ的奇幻之旅小组,上海INFJ，已经于清明，成功举办线下活动 ：http://www.douban.com/group/topic/37924314/
INFJ的奇幻之旅小组,苏州有吗？
INFJ的奇幻之旅小组,广州~
INFJ的奇幻之旅小组,留个名好了~~杭州...
INFJ的奇幻之旅小组,南京，嗯哼
INFJ的奇幻之旅小组,哦 哦哦
INFJ的奇幻之旅小组,郑州
INFJ的奇幻之旅小组,广州
INFJ的奇幻之旅小组,北京，我可以组织，INFJ的童鞋可以联系我：）
INFJ的奇幻之旅小组,成都+1
INFJ的奇幻之旅小组,长沙+1
INFJ的奇幻之旅小组,常州
INFJ的奇幻之旅小组,大连.....
INFJ的奇幻之旅小组,有
INFJ的奇幻之旅小组,上海
INFJ的奇幻之旅小组,南京……（话说我上面那个同城的已经注销了= =
INFJ的奇幻之旅小组,上海
INFJ的奇幻之旅小组,广州
INFJ的奇幻之旅小组,北京！
INFJ的奇幻之旅小组,"响应肖老师的号召！
上海在中秋已经第二次举办。http://www.douban.com/group/topic/43961299/"
INFJ的奇幻之旅小组,苏州
INFJ的奇幻之旅小组,"深圳、、、
怎么IN的人 也这么外向的么.."
INFJ的奇幻之旅小组,上海：）
INFJ的奇幻之旅小组,沈阳
INFJ的奇幻之旅小组,北京 丰台
INFJ的奇幻之旅小组,深圳
INFJ的奇幻之旅小组,杭州
INFJ的奇幻之旅小组,西安
INFJ的奇幻之旅小组,infj同城聚会其实就是大家一起不说话等着对方说吗
INFJ的奇幻之旅小组,北京 丰台 握爪
INFJ的奇幻之旅小组,握爪 那是不是要聚一下
INFJ的奇幻之旅小组,广州留名!!
INFJ的奇幻之旅小组,南京
INFJ的奇幻之旅小组,"本帖是小组里的一个精彩荟萃，遴选的标准有三：
其一是话题具有较大的讨论价值；
其二是热度，较高的热度反映了来自各方的思想观念；
其三是回应非闲话灌水之类，具有真知灼见。
以我一己之见毕竟难以拾贝，未免有沧海遗珠之憾，还请诸位亲们一起完善。

【MBTI相关】
infj来说说心中的理想类型吧http://www.douban.com/group/topic/71784442/
纯粹经验，NT 与NF 无法沟通，请讨论http://www.douban.com/group/topic/64437395/
你们喜欢和讨厌的类型http://www.douban.com/group/topic/55131909/
mbti是信仰？？？伤不起，伤不起http://www.douban.com/group/topic/53626636/
怎么判断对方是N还是S？http://www.douban.com/group/topic/9120745/?start=0&post=ok#last
讨论帖：S与N之间的本质区别http://www.douban.com/group/topic/38190088/
到底是N看不起S，还是N被S欺负？http://www.douban.com/group/topic/36529730/
转自果壳：MBTI测试，从头到脚不靠谱http://www.douban.com/group/topic/74779218/


【关于成长】
送给所有的亲们(转载自肖雪萍)（强治愈系）http://www.douban.com/group/topic/32334796/
成熟的INFJ？http://www.douban.com/group/topic/36595027/
INFJ怎样应对各种性格<力荐>http://www.douban.com/group/topic/22632979/
INFJ的人是不是都不太圆滑，不擅长交际http://www.douban.com/group/topic/36606150/
（12.30更新）我的亲身经历，讲述一个INFJ的心路历程
http://www.douban.com/group/topic/11573194/
或许,INFJ应该找到真正珍贵的东西http://www.douban.com/group/topic/35141335/


【infj亚健康样本研究】
深度挖掘infj不幸的一切根源（涉及星象学）http://www.douban.com/group/topic/70132955/
作为一只普通NF的人来说，只有戒掉谈意义时才能活http://www.douban.com/group/topic/65017011/

【童年】
到底是什么样的童年，促使你们形成为INFJ的？http://www.douban.com/group/topic/37027273/


【生活中的烦恼】
各位INFJ心中的美好世界是怎样的http://www.douban.com/group/topic/19126115/
INFJ的世界是怎么样的？http://www.douban.com/group/topic/9690653/
批评对infj意味着什么？http://www.douban.com/group/topic/19344490/
infj们会惧怕人群么http://www.douban.com/group/topic/41615418/
INFJ是不是特别在乎认同感啊http://www.douban.com/group/topic/19350821/
INFJ为什么这么少呢？真希望可以被理解啊http://www.douban.com/group/topic/27898912/
人格类型不能成为逃避现实的借口http://www.douban.com/group/topic/19632023/?start=0&post=ok#last
你们最喜欢做的事情? http://www.douban.com/group/topic/3913160/
让infj内心富足的东西是什么？http://www.douban.com/group/topic/58368097/
性向测试，我猜大家很多都会高于150 http://www.douban.com/group/topic/53027213/
回应: infj跟人聊天是不是经常冷场？怎么破？http://www.douban.com/group/topic/35577698/?start=100


【读书】
INFJ们分享你喜欢的书籍和电影吧http://www.douban.com/group/topic/22380525/


【工作】
适合INFJ 的职业类型http://www.douban.com/group/topic/8183379/
现实社会中INFJ适合做什么工作？http://www.douban.com/group/topic/21091302/
各位INFJ们所学的都是什么专业啊？http://www.douban.com/group/topic/16317462/
有INFJ的中學老師嗎?來給我點建議好嗎?謝謝http://www.douban.com/group/topic/56466747/


【爱情】
请问男性INFJ的朋友http://www.douban.com/group/topic/18648462/
INFJ女，你们心中的ta是什么样的http://www.douban.com/group/topic/42794559/
INFJ女好难追啊http://www.douban.com/group/topic/27948749/
NF 适合和NT结婚还是NF!~ http://www.douban.com/group/topic/46989341/
INFJ 男生进http://www.douban.com/group/topic/30449091/
关于INFJ心中的soul mate 情结http://www.douban.com/group/topic/6497550/
找伴侣的时候，人们更倾向于找性格秉性和自己相近的http://www.douban.com/group/topic/73381575/?start=0&post=ok#last


【INFJ与星座】
有关INFJ们的星座调查。。http://www.douban.com/group/topic/24048938/
深度挖掘infj不幸的一切根源http://www.douban.com/group/topic/70132955/


【其他精彩】
INFJ关系好的朋友一般什么是什么MBTI类型呢？http://www.douban.com/group/topic/21142994/

【关于小组建设】
为什么我们组这么冷清？http://www.douban.com/group/topic/5901759/"
INFJ的奇幻之旅小组,"都是组里的好帖·
支持下
(づ￣ 3￣)づ"
INFJ的奇幻之旅小组,谢谢你的捧场，唯恐所选不能兼顾诸方所好
INFJ的奇幻之旅小组,好讚 mark
INFJ的奇幻之旅小组,已经很全面了。
INFJ的奇幻之旅小组,辛苦了
INFJ的奇幻之旅小组,辛苦 棒极了 慢慢读
INFJ的奇幻之旅小组,楼主辛苦了
INFJ的奇幻之旅小组,m
INFJ的奇幻之旅小组,越长大属于自己的时间越少，如果亲们看到很好的帖子，劳烦把地址发到楼下，我好列到主楼里。
INFJ的奇幻之旅小组,挖挖伊飘过~
INFJ的奇幻之旅小组,"不知道有没有新传的小伙伴呀
新传是不是怀疑精神和理想主义和infj贴合呢？🕊🕊🕊"
INFJ的奇幻之旅小组,本人INFJ，本科管理学，硕士新传，个人并不完全赞同楼里其他观点，因为新闻专业主义就是很理想主义的存在。同时传播学本身是社会学、心理学等infj很感兴趣的学科的交叉领域，社会运行的规律、交往的本质等等理论知识相当能够激发infjer的兴趣。不管新闻人从事哪一行业，秉持着客观和正义至上的理想主义永远不是坏事。尤其在一个媒介朝气蓬勃、还不错的时代。
